,Name,Company,Location,Salary,Experience,Type,Field,Posted,Updated,Skill Required,Link
53,[REMOTE] DATA ANALYST,Boost Commerce,"Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Data Science,23 days ago,22 days ago,"eCommerce, Marketing, Data Modeling, SQL, Python, Business Intelligence, Fluent In English Both Oral And Written, Data Analysis, Project Analysis, Dashboards",https://glints.com/vn/opportunities/jobs/remote-data-analyst/2d93b5ed-060c-4ddf-8345-849cc207d790
54,ETL Data Engineer ,Port Cities,"Ho Chi Minh City, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Data Science,1 month ago,4 days ago,"ETL Developer, Python Programming, ETL Tools",https://glints.com/vn/opportunities/jobs/etl-data-engineer/c98894cd-5ba4-4f06-907e-2eff6571f773
55,Fresher Data Analyst,Viettel Big Data Analytics Center (DAC),"Hà Nội, Vietnam",,,Việc làm fulltime,Data Science,7 months ago,yesterday,"Công Nghệ Thông Tin, Phân Tích Thống Kê, Sql, Toeic 550+, Xử Lý Dữ Liệu",https://glints.com/vn/opportunities/jobs/fresher-data-analyst/344e3fac-7b69-45a4-8aa2-770b44cc0330
56,Data Analysis Intern ,Marathon Education,"Quận Bình Thạnh, Ho Chi Minh City, Vietnam",,Dưới một năm kinh nghiệm,Thực Tập,Data Science,8 days ago,8 days ago,"Microsoft Excel, Microsoft Office, Data Analysis",https://glints.com/vn/opportunities/jobs/data-analysis-intern/0d190143-b8b7-49a1-97f7-7e1d2abc59e0
57,Data Rater (English),Công Ty Phát Triển Phần Mềm Nashtech ,"Quận Tân Bình, Ho Chi Minh City, Vietnam",,Dưới một năm kinh nghiệm,Việc làm fulltime,Language and Translation,1 month ago,1 month ago,"English, Hardworking, Computer",https://glints.com/vn/opportunities/jobs/data-rater-english/3a3c0ec2-02c4-4973-8775-a67c9799b32f
58,Data Analytics Manager,Home Credit Viet Nam,"Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Data Science,5 days ago,5 days ago,"Analytical Skills, Data Engineering, Investment Analysis, Project Management, Business Analyst, Financial Accounting, Data Analysis",https://glints.com/vn/opportunities/jobs/data-analytics-manager/61ca7bae-33d5-469c-a7ab-758be95ba1bb
59,Technical Data Steward,Fetch Technology,"Da Nang, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Other,yesterday,yesterday,"Good Verbal And Written Communication Skills, Data Strategy, Business Needs Analysis",https://glints.com/vn/opportunities/jobs/technical-data-steward/79cf7d82-65f6-4292-95b8-6b7f71123e4b
60,Technical Data Steward,Fetch Technology,"Ho Chi Minh City, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Other,yesterday,yesterday,"Good Verbal And Written Communication Skills, Data Strategy, Business Needs Analysis",https://glints.com/vn/opportunities/jobs/technical-data-steward/c5cc9a9e-ae29-436c-8227-2e64ec29c0ff
61,Technical Data Steward,Fetch Technology,"Hà Nội, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Other,yesterday,yesterday,"Good Verbal And Written Communication Skills, Data Strategy, Business Needs Analysis",https://glints.com/vn/opportunities/jobs/technical-data-steward/77d178fe-6e9a-4fe2-b81e-93d2e0080d57
62,Big Data Engineer,Fetch Technology,"Da Nang, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Software Engineering,yesterday,yesterday,"Rest Api, Strong Analytical Skills, Good Problem Solving Skills",https://glints.com/vn/opportunities/jobs/big-data-engineer/b4d9398f-df51-4bee-9fe7-468a1337957a
