,Name,Company,Location,Salary,Experience,Type,Field,Posted,Updated,Skill Required,Link
51,Nhân viên telesales- không yêu cầu kinh nghiệm,Công ty Cổ phần Giáo dục Educa Corporation,"Hà Nội, Vietnam",,,Việc làm fulltime,Business Development / Sales,2 months ago,1 month ago,"Telesales, Tư Vấn Thuyết Phục, Giao Tiếp Thuyết Phục, Sales, Giao Tiếp Tốt, Tư vấn bán hàng online, Tư vấn bán hàng., Tư Vấn Khách Hàng, Tư Vấn Chốt Sales",https://glints.com/vn/opportunities/jobs/nhan-vien-telesales-khong-yeu-cau-kinh-nghiem/f768d23f-c047-4601-81fd-e92f78457156
52,CHIEF TECHNOLOGY OFFICER (CTO),WEALLNET,"Quận 1, Ho Chi Minh City, Vietnam",,Hơn 10 năm kinh nghiệm,Việc làm fulltime,Software Engineering,2 months ago,yesterday,"Trend Forecasting, Mobile Development, Research And Development, English & Vietnamese, Friendly And Cheerful, Human Interface, Data Visualization, Inspiring Leadership, Problem Solving And Time Management, Detail-oriented And Meticulous, Fun And Outgoing, Management, Motivated And Dedicated, Technology, Product Knowledge, Computer Networking, Dedicated And Patient, Corporate Communications, Strong Communication And Interpersonal Skills, Managerial Skills > Team Management, Cloud Computing, Inspiring People, analysis of consumer trends, Out Going Personality, Artificial Intelligence, Teamwork And Interpersonal Skills",https://glints.com/vn/opportunities/jobs/chief-technology-officer-cto/11cea07f-014a-4faa-a07d-ed016ec15843
53,NHÂN VIÊN TƯ VẤN QUA ĐIỆN THOẠI,Manpowergroup Việt Nam,"Quận Tân Bình, Ho Chi Minh City, Vietnam",,Dưới một năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,2 months ago,11 days ago,"Good Attitude, Microsoft Office, Good Communication Skills",https://glints.com/vn/opportunities/jobs/nhan-vien-tu-van-qua-dien-thoai/b5b77bc2-c64d-4cad-af43-50de4f087da7
54,[HCM] Nhân viên xử lý Dữ Liệu,Kompa Group,"Quận 10, Ho Chi Minh City, Vietnam",,Dưới một năm kinh nghiệm,Việc làm fulltime,Media & Communications,10 months ago,1 month ago,"English, Microsoft Excel, Microsoft Office, Good Communication Skills",https://glints.com/vn/opportunities/jobs/hcm-nhan-vien-xu-ly-du-lieu/aa4ae02a-9665-490b-a6ec-976bb2853fe7
55,Nhân viên telesales- không yêu cầu kinh nghiệm,Công ty Cổ phần Giáo dục Educa Corporation,"Hà Nội, Vietnam",,,Việc làm fulltime,Business Development / Sales,3 months ago,3 months ago,"Telesales, Giao Tiếp Tốt, Sales",https://glints.com/vn/opportunities/jobs/nhan-vien-telesales-khong-yeu-cau-kinh-nghiem/44379676-86d7-456c-a095-349b35d988fc
56,Fullstack Marketing,Opencommerce Group,"Hà Nội, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Marketing,1 month ago,1 month ago,"Marketing, Digital Marketing, Content Marketing",https://glints.com/vn/opportunities/jobs/fullstack-marketing/f9fa3a61-877f-40fe-ad6d-52fa5ee11a4b
57,[HN] Backend Software Engineer - Seller Listing,TIKI,"Hà Nội, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,3 months ago,2 months ago,"Problem Solving, Self-management, Good Product Mindset",https://glints.com/vn/opportunities/jobs/hn-backend-software-engineer-seller-listing/805e3104-4683-4f6f-a8dd-ae986421d0dc
58,Fullstack Engineer,VinBrain,"Ho Chi Minh City, Vietnam",,,Việc làm fulltime,Software Engineering,3 months ago,2 months ago,"Node.js, JavaScript, React Native",https://glints.com/vn/opportunities/jobs/fullstack-engineer/994bd651-d511-423f-b370-0b3fe62712ac
59,Software Test Engineer (Automation),VinBrain,"Hà Nội, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Software Engineering,3 months ago,3 months ago,"Software Engineering, Good Communication Skills, Automation Testing",https://glints.com/vn/opportunities/jobs/software-test-engineer-automation/ec7e0826-27a7-4daa-8e63-2d97c1947c94
60,Senior iOS Developer,VinBrain,"Hà Nội, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Software Engineering,3 months ago,3 months ago,"Ios Swift, iOS Development, iOS Developer",https://glints.com/vn/opportunities/jobs/senior-ios-developer/ffb2db6a-ee61-42bb-b669-16333defbad5
61,Professional Financial Advisor Manager,Chubb Life - Vietnam,"Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,20 days ago,20 days ago,"Kỹ Năng Đàm Phán, Kỹ năng đào tạo, Xây Dựng Đội Nhóm",https://glints.com/vn/opportunities/jobs/professional-financial-advisor-manager/e15a088f-7c22-4409-802b-923250910519
62,Chuyên Viên Tư Vấn Khách Hàng,Haycome,"Ho Chi Minh City, Vietnam",,,Việc làm fulltime,Business Development / Sales,2 months ago,2 months ago,"Kỹ Năng Thương Lượng, Tốt Nghiệp Từ Trung Cấp, Kỹ năng giao tiếp tốt",https://glints.com/vn/opportunities/jobs/chuyen-vien-tu-van-khach-hang/34dec6cb-3690-420e-b551-eaad65f675a6
63,Nhân viên Telesales (8 - 10 triệu lương cứng) và Thưởng ,CMC Telecom,"Quận 7, Ho Chi Minh City, Vietnam",,Dưới một năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,1 month ago,1 month ago,"Time Management Skills, Good Teamwork, Good Communication Skills",https://glints.com/vn/opportunities/jobs/nhan-vien-telesales-8-10-trieu-luong-cung-va-thuong/0dbe95f8-8cd1-4b89-8fad-4f5392d9a7f7
64,Controlling Senior Executive (for Supply Chain Department),MM Mega Market Vietnam,"Thành phố Thủ Đức, Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Other,2 months ago,5 days ago,"Supply Chain Management, Data Analysis, Logistics",https://glints.com/vn/opportunities/jobs/controlling-senior-executive-for-supply-chain-department/930492f5-f067-429b-b264-4ed031e5e771
65,Sales Operation Executive (Sales Admin),ANHEUSER-BUSCH INBEV SOUTHEAST ASIA,"Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,4 months ago,24 days ago,"Problem Solving And Time Management, Analytical Skills, Project Management, Power Bi, Teamwork And Interpersonal Skills",https://glints.com/vn/opportunities/jobs/sales-operation-executive-sales-admin/3c3761a5-3173-4a42-a355-b70fde8fd5e2
66,TECHNICAL SALES B2B - ECOCYCLE SOLUTION,INSEE,"Ho Chi Minh City, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,5 months ago,5 days ago,"B2b Selling Experience, B2b Business Strategies, B2b Sales",https://glints.com/vn/opportunities/jobs/technical-sales-b2b-ecocycle-solution/0cdddc21-f529-449f-9071-1dda748652d0
67,Sales Training Assistant Manager (Automobile industry) - HCM,ADI CONSULTING COMPANY LIMITED,"Ho Chi Minh City, Vietnam",,5 - 10 năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,2 months ago,2 months ago,"English, Automobiles, Sales training",https://glints.com/vn/opportunities/jobs/sales-training-assistant-manager-automobile-industry-hcm/ebb28657-d799-4dc0-806b-88c26ab11d3f
68,HR Intern - Talent Acquisition Center (International),TikTok Vietnam,"Ho Chi Minh City, Vietnam",,,Thực Tập,Human Resource,1 month ago,2 days ago,"Employee Relations, Human Resources, Good Communication Skills",https://glints.com/vn/opportunities/jobs/hr-intern-talent-acquisition-center-international/afe6c2a0-41a3-4fb7-8e92-7ef86b6864c8
69,TƯ VẤN TUYỂN SINH,Công ty Cổ phần Đầu tư Fibo Capital Việt Nam,"Hà Nội, Vietnam",,Dưới một năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,5 months ago,5 months ago,"Sales Management, Sales Operations, Sales",https://glints.com/vn/opportunities/jobs/tu-van-tuyen-sinh/b184e7ab-1a4b-4539-8dbe-966ee83daafb
